CustomerID,Recency,Frequency,Monetary,Cluster
12693,127,4,724.3100000000001,3
12694,70,2,507.12,3
12695,7,4,374.5,0
12697,29,3,630.54,3
12700,8,4,3911.27,1
12701,80,2,797.71,3
12702,20,1,219.0,0
12703,71,1,283.55,2
12704,7,8,1289.28,1
12705,15,8,5071.09,1
12707,292,1,391.72,2
12708,30,10,2659.81,1
12709,15,15,2866.45,1
12710,97,3,1077.02,3
12712,29,13,2209.33,1
12713,1,1,628.5,0
12714,9,5,3727.2,1
12715,106,1,263.36,2
12716,4,2,999.49,0
12717,151,2,791.03,3
12718,71,1,238.25,2
12719,5,2,644.95,0
12720,3,25,4964.81,1
12721,32,6,2375.33,1
12722,85,4,856.63,3
12723,4,5,613.02,1
12724,5,4,888.01,1
12725,371,1,371.8,2
12726,28,7,2016.6599999999999,1
12727,11,7,1921.98,1
12728,71,4,755.9300000000001,3
12729,114,1,453.01,2
12731,24,10,2620.4500000000003,1
12732,180,1,196.26000000000002,2
12733,234,1,307.45,2
12734,353,1,16.8,2
12735,315,2,591.3199999999999,2
12738,372,1,155.35,2
12739,78,2,531.54,3
12740,64,1,427.6,2
12743,134,2,540.13,3
12744,56,4,2129.9,3
12747,2,11,1641.89,1
12748,1,200,23134.23,1
12749,4,5,3532.86,1
12750,129,1,235.2,2
12752,81,1,304.82,2
12753,23,6,538.96,3
12754,277,2,61.62,2
12755,281,1,17.549999999999997,2
12756,87,1,50.879999999999995,2
12757,16,7,2993.95,1
12758,117,2,1211.73,3
12759,52,3,1441.44,3
12762,8,2,917.57,0
12763,369,1,260.08,2
12764,317,1,583.13,2
12766,4,7,5175.91,1
12769,239,1,416.34000000000003,2
12772,60,1,752.47,3
12775,17,5,1184.64,3
12778,20,6,723.23,3
12779,38,8,2619.14,1
12781,64,2,339.8,3
12782,5,5,1601.02,1
12783,2,4,1323.8700000000001,1
12784,15,1,476.82,0
12785,364,1,213.95,2
12787,10,3,319.66,0
12789,65,1,51.9,2
12790,192,1,285.12,2
12791,374,1,15.0,2
12792,257,1,344.54,2
12793,335,2,423.48,2
12794,53,2,756.01,3
12795,19,1,219.78,0
12797,366,1,254.03,2
12802,187,1,427.58,2
12808,37,3,483.65000000000003,3
12809,178,1,405.31,2
12811,261,3,514.85,3
12812,45,1,229.64000000000001,0
12815,148,2,823.86,3
12816,96,2,412.25,2
12817,281,1,27.04,2
12818,262,1,75.60000000000001,2
12820,3,4,942.34,1
12821,214,1,92.72,2
12822,71,2,806.08,3
12824,60,1,349.42,2
12826,3,7,1474.72,1
12827,6,3,385.6,0
12828,3,6,888.46,1
12829,337,2,162.25,2
12831,262,1,173.05,2
12832,32,2,383.03000000000003,0
12833,145,1,417.38,2
12834,283,1,312.38,2
12836,59,4,2197.5,3
12837,173,1,134.1,2
12838,34,2,671.95,3
12839,3,14,5123.37,1
12840,144,4,2451.17,3
12841,5,25,3581.16,1
12842,70,2,445.21000000000004,3
12843,66,8,1370.06,3
12844,29,2,325.96000000000004,0
12845,269,2,71.79,2
12847,22,1,598.09,0
12849,31,2,620.09,0
12851,97,1,131.81,2
12852,295,1,311.55,2
12853,135,5,1386.9,3
12854,79,3,1051.99,3
12855,373,1,38.1,2
12856,8,6,2080.06,1
12857,211,2,819.45,3
12863,52,1,49.8,2
12864,138,1,27.599999999999998,2
12865,26,2,1568.23,3
12866,283,1,409.57,2
12867,26,7,3663.69,1
12868,186,6,1607.0600000000002,3
12871,84,2,135.84,2
12872,327,2,558.67,2
12876,58,2,1111.42,3
12877,4,11,1298.17,1
12878,236,2,854.99,3
12879,45,2,91.72,2
12881,276,1,103.0,2
12883,25,4,703.47,3
12884,88,1,139.05,2
12885,63,3,1128.42,3
12886,68,2,1378.4,3
12888,255,1,25.200000000000003,2
12890,24,1,331.71999999999997,0
12893,31,1,176.55,0
12895,42,2,372.8,0
12897,205,1,29.700000000000003,2
12901,10,14,871.5699999999999,1
12902,265,1,138.68,2
12904,18,2,445.06,0
12906,12,4,667.13,0
12909,40,5,1338.8700000000001,3
12910,23,6,925.72,3
12912,8,2,46.8,0
12913,5,5,478.97,0
12915,149,2,363.65,2
12916,139,4,1636.5,3
12919,8,6,831.11,1
12920,17,1,162.78,0
12921,9,37,11418.91,1
12922,161,1,405.38,2
12923,64,1,172.82,2
12924,88,4,153.4,2
12925,5,2,694.05,0
12928,35,5,1473.9,3
12929,312,1,117.85,2
12930,78,2,415.8,3
12931,67,2,76.96000000000001,2
12933,24,3,555.03,3
12935,2,7,2039.3,1
12936,17,3,616.3,0
12937,15,4,1279.8700000000001,3
12938,26,1,114.14,0
12940,55,2,848.69,3
12942,131,3,675.6,3
12944,36,2,564.71,3
12945,288,1,404.95,2
12947,144,5,1314.39,3
12948,16,7,2018.15,1
12949,31,8,3861.94,1
12950,8,2,117.8,0
12951,9,6,1064.07,1
12952,6,4,1387.79,1
12953,10,1,329.85,0
12955,1,11,2917.58,1
12956,306,1,108.07,2
12957,10,8,3801.64,1
12962,7,2,266.39,0
12963,8,8,1666.98,1
12965,89,1,769.8100000000001,3
12966,10,1,160.18,0
12967,372,1,81.7,2
12968,112,1,74.75,2
12970,7,4,405.47,0
12971,4,80,4277.04,1
12974,198,1,144.8,2
12976,212,1,303.6,2
12977,156,1,39.239999999999995,2
12981,30,2,372.21999999999997,0
12982,243,1,390.54,2
12984,19,1,97.5,0
12985,1,2,1109.42,0
12987,74,2,508.75,3
12988,292,1,505.82,2
12989,9,4,130.63,0
12990,31,2,143.0,0
12991,23,2,461.26,0
12993,23,4,414.76,3
12994,4,3,974.42,0
12995,85,1,76.32,2
12997,22,4,899.8100000000001,3
12999,205,2,379.38,2
13000,260,2,458.53000000000003,2
13001,4,13,4900.4400000000005,1
13002,318,1,120.95,2
13003,151,2,89.05000000000001,2
13004,12,18,5616.16,1
13005,174,2,438.7,2
13006,56,1,81.57,2
13008,323,1,229.47,2
13011,372,1,50.550000000000004,2
13012,9,8,1517.04,1
13013,1,13,3558.54,1
13014,11,10,1626.43,1
13015,53,5,2992.62,3
13016,73,3,789.89,3
13018,16,27,6919.02,1
13021,4,9,1926.71,1
13023,64,2,599.9,3
13026,1,4,574.68,0
13028,23,2,661.3199999999999,0
13029,31,2,116.5,0
13030,11,2,620.29,0
13032,52,2,960.6800000000001,3
13033,357,1,190.55,2
13034,55,2,642.77,3
13035,74,2,434.28000000000003,3
13037,138,3,750.47,3
13038,80,3,383.76,3
13040,9,2,676.99,0
13043,273,1,231.82,2
13044,291,1,458.47,2
13045,99,1,222.08,2
13046,31,2,544.31,0
13047,32,10,3014.96,1
13048,14,4,1730.6100000000001,3
13049,64,2,199.18,2
13050,15,17,5535.51,1
13052,212,1,280.3,2
13055,78,3,1173.61,3
13058,25,3,147.65,0
13059,250,1,94.15,2
13060,254,1,246.33,2
13061,72,1,147.06,2
13062,191,1,133.5,2
13064,13,4,1001.59,3
13065,373,1,205.86,2
13066,24,2,430.90000000000003,0
13067,82,1,115.46000000000001,2
13069,1,24,3362.68,1
13070,192,1,145.6,2
13072,267,1,177.15,2
13075,130,1,226.61,2
13077,1,4,601.66,1
13078,3,26,4242.62,1
13079,4,5,124.9,0
13080,179,1,58.08,2
13081,12,10,15083.56,1
13082,126,9,1022.19,3
13083,4,2,303.75,0
13085,158,2,315.28000000000003,2
13089,4,81,26948.74,1
13090,9,12,1759.15,1
13091,28,1,306.21999999999997,0
13092,71,5,438.03000000000003,3
13093,276,8,1507.25,3
13095,71,1,74.39999999999999,2
13097,33,10,5053.07,1
13098,1,24,5810.69,1
13101,234,1,101.19,2
13102,1,24,4782.89,1
13103,40,1,100.24,2
13104,3,4,183.96,0
13107,44,4,805.38,3
13108,373,1,115.46,2
13109,60,2,735.54,3
13110,31,7,1401.3700000000001,3
13113,1,24,1688.67,1
13115,12,4,2006.88,1
13116,138,1,501.14,2
13117,22,8,984.91,1
13118,20,5,804.63,3
13120,239,1,30.6,2
13121,269,1,283.73,2
13122,94,2,922.39,3
13124,90,3,3112.62,3
13126,5,8,1958.34,1
13127,78,1,259.17,2
13130,94,1,25.0,2
13131,23,3,690.0,3
13132,262,1,32.3,2
13133,274,2,109.8,2
13134,86,4,1627.68,3
13136,56,5,2242.91,3
13137,11,8,3563.69,1
13138,22,6,962.39,3
13139,16,6,2843.16,1
13140,108,3,422.47,3
13141,85,5,2139.75,3
13142,19,1,307.09000000000003,0
13144,333,1,47.2,2
13145,92,1,40.92,2
13146,26,1,132.91,0
13148,29,12,3470.56,1
13149,14,4,1339.46,3
13151,296,1,1257.8700000000001,2
13153,6,1,227.82000000000002,0
13155,33,4,924.96,3
13157,49,4,1549.32,3
13158,95,4,1201.06,3
13159,9,4,1354.65,1
13160,22,1,91.8,0
13161,313,1,112.75,2
13162,122,4,1153.69,3
13165,46,2,491.47999999999996,3
13166,283,1,417.2,2
13167,19,4,749.5699999999999,3
13168,36,4,1193.39,3
13169,64,2,217.28,2
13170,27,1,108.81,0
13171,22,3,335.21,0
13173,4,2,353.65000000000003,0
13174,16,3,2598.93,3
13176,46,1,481.49,0
13177,65,1,282.45,2
13178,26,11,4567.39,1
13182,45,1,121.18,2
13183,8,9,849.8000000000001,1
13184,15,10,1503.65,1
13186,40,3,1386.8300000000002,3
13187,337,1,236.02,2
13188,11,1,15.0,0
13189,19,2,260.68,0
13192,95,2,911.94,3
13193,61,1,112.08,2
13194,136,1,60.7,2
13196,11,4,1704.73,1
13198,10,6,3279.34,1
13199,8,18,662.9,1
13200,19,4,680.67,3
13203,10,4,789.91,0
13207,15,2,178.86,0
13208,59,6,1125.45,3
13209,30,7,4877.09,1
13210,94,1,353.48,2
13211,10,3,443.82,0
13212,20,3,736.83,3
13213,57,5,1342.38,3
13216,268,1,10.5,2
13218,127,1,62.64,2
13220,78,2,132.84,2
13221,240,2,788.01,3
13223,200,1,62.4,2
13224,60,2,1384.99,3
13226,273,1,108.21000000000001,2
13227,202,1,90.0,2
13229,226,1,160.95,2
13230,4,14,2502.42,1
13232,13,7,1328.35,1
13233,74,2,558.3199999999999,3
13235,212,1,785.67,2
13236,25,2,663.73,0
13238,23,3,596.73,3
13239,262,1,285.01,2
13240,96,4,663.65,3
13242,112,3,270.40000000000003,2
13243,203,1,585.12,2
13244,93,1,121.74000000000001,2
13245,51,1,430.5,0
13246,18,5,969.48,3
13247,22,3,360.0,0
13248,125,2,465.68,2
13249,93,1,127.73,2
13253,157,2,548.28,3
13255,9,2,180.11,0
13258,12,3,448.78000000000003,0
13259,62,1,283.18,2
13260,61,1,82.32000000000001,2
13262,263,1,149.29,2
13263,1,35,7206.53,1
13265,53,5,1398.66,3
13266,11,12,2913.7,1
13267,3,19,3807.9300000000003,1
13268,18,11,3014.8,1
13269,1,15,4309.22,1
13271,37,1,211.49,0
13272,31,2,276.56,0
13273,113,1,138.98,2
13276,64,2,463.43,3
13277,16,3,159.4,0
13278,41,1,502.89,0
13279,78,1,137.75,2
13280,122,3,798.46,3
13282,18,3,450.94,0
13283,60,2,93.66,2
13284,331,1,201.19,2
13285,23,4,2709.12,3
13291,156,1,361.11,2
13292,39,2,539.34,3
13294,190,2,873.74,3
13295,360,1,201.20000000000002,2
13296,137,1,87.4,2
13297,8,4,899.6,1
13299,268,1,82.80000000000001,2
13300,169,1,371.89,2
13301,104,4,618.09,3
13304,351,1,300.42,2
13305,4,10,1230.76,1
13307,120,1,15.0,2
13308,23,3,872.47,3
13309,7,5,1416.29,1
13310,28,3,1132.03,3
13311,4,2,298.25,0
13313,22,5,1289.92,3
13314,2,3,775.94,0
13316,37,3,217.53,0
13317,66,6,2114.08,3
13318,1,3,289.88,0
13319,5,26,8353.41,1
13320,78,4,1532.2,3
13321,86,1,175.64,2
13322,17,1,154.48000000000002,0
13323,3,5,313.55,0
13324,36,2,82.8,0
13325,82,1,89.3,2
13327,39,8,1275.04,3
13328,316,1,175.68,2
13329,32,2,181.98,0
13330,93,3,953.73,3
13332,14,1,350.90000000000003,0
13334,82,3,3218.52,3
13336,77,1,795.12,3
13338,158,1,215.62,2
13339,201,1,860.12,2
13340,45,7,769.15,3
13341,261,1,688.25,2
13343,178,1,303.43,2
13344,68,3,1948.69,3
13345,288,1,339.5,2
13347,70,1,68.16,2
13348,64,1,233.76000000000002,2
13349,11,1,197.32,0
13350,16,2,595.1700000000001,0
13351,66,1,323.94,2
13352,60,1,347.98,2
13354,71,1,703.93,3
13355,122,1,531.9,2
13356,80,1,630.84,2
13357,257,1,568.6,2
13358,269,1,389.03000000000003,2
13359,64,1,389.56,2
13362,9,4,2812.34,1
13363,18,2,892.5,0
13364,71,1,134.96,2
13365,34,2,2018.27,3
13368,257,2,478.0,2
13369,366,1,218.28,2
13370,372,1,715.07,2
13372,90,1,328.64,2
13373,61,3,2622.8,3
13375,89,1,676.65,2
13376,99,3,869.76,3
13379,26,3,572.56,3
13381,32,6,3209.11,1
13382,281,1,222.99,2
13384,31,7,2615.31,1
13385,330,1,484.67,2
13388,131,2,574.05,3
13389,11,3,797.96,0
13390,75,1,185.88,2
13394,2,8,2088.92,1
13395,185,1,307.72,2
13396,29,2,768.29,3
13397,73,4,431.64,3
13398,192,1,457.34000000000003,2
13402,127,2,517.73,3
13403,18,1,30.0,0
13404,1,2,188.74,0
13405,74,3,532.6510000000001,3
13408,2,44,4620.56,1
13410,24,4,263.46,0
13411,107,1,213.55,2
13414,134,2,392.58,2
13416,44,2,338.7,0
13417,5,2,640.83,0
13418,12,18,3809.3,1
13419,64,1,221.06,2
13420,150,2,159.85,2
13421,40,2,1276.51,3
13422,64,1,2252.44,3
13425,108,3,1148.29,3
13426,1,10,1685.57,1
13427,19,3,456.2,0
13428,10,1,201.78,0
13429,11,4,914.2,3
13430,19,2,628.45,0
13431,67,2,706.3,3
13434,74,2,128.64000000000001,2
13435,5,7,805.02,1
13436,2,1,196.89,0
13437,14,7,2804.0,1
13439,255,1,283.71,2
13441,92,1,168.32,2
13447,23,3,943.53,3
13448,17,6,2635.75,1
13449,24,1,291.88,0
13450,27,6,1064.28,3
13451,26,5,2858.46,1
13453,166,2,277.58,2
13455,25,2,803.04,3
13456,18,6,977.22,1
13458,7,14,6454.97,1
13460,29,2,183.44,0
13461,39,2,82.2,0
13462,253,1,151.5,2
13464,58,1,674.68,3
13466,184,1,307.90000000000003,2
13467,11,2,952.71,0
13468,2,37,4769.02,1
13470,99,2,165.0,2
13471,1,4,2417.04,1
13473,61,2,298.24,0
13474,236,1,226.84,2
13475,191,4,1355.46,3
13476,179,2,947.67,3
13477,38,6,1292.16,3
13479,201,2,261.35,2
13481,46,5,1722.16,3
13482,232,1,184.64000000000001,2
13483,66,1,140.34,2
13484,241,1,111.3,2
13485,233,1,343.84,2
13486,78,3,1082.81,3
13487,58,3,575.4,3
13488,17,13,7049.54,1
13489,158,2,128.64000000000001,2
13491,52,10,1215.82,3
13492,136,3,928.14,3
13493,287,1,40.35,2
13494,312,1,316.26000000000005,2
13495,8,5,653.22,1
13496,11,2,531.53,0
13497,283,2,348.05,2
13499,18,5,743.35,3
13500,23,3,1127.17,3
13501,288,1,736.52,2
13502,17,3,232.6,0
13503,71,1,216.85,2
13504,64,1,295.93,2
13505,73,4,3367.18,3
13506,316,2,458.52,2
13507,3,4,2439.56,1
13508,244,1,110.97,2
13509,9,6,746.6800000000001,1
13510,1,4,1750.76,1
13512,261,1,251.21,2
13513,127,1,145.1,2
13514,74,1,70.80000000000001,2
13515,73,4,891.12,3
13516,21,3,635.41,3
13517,60,3,2128.42,3
13518,86,1,627.16,2
13519,78,1,122.75,2
13520,59,6,1109.95,3
13521,1,3,1071.73,1
13522,30,1,125.80000000000001,0
13523,33,5,2646.04,3
13524,41,5,480.98,3
13525,15,1,23.9,0
13527,34,7,2242.36,1
13529,79,2,206.06,2
13531,205,2,321.8,2
13532,34,1,210.31,0
13533,183,3,269.09,2
13534,2,25,4598.68,1
13536,1,7,2421.92,1
13538,121,3,208.65,2
13539,86,3,631.34,3
13544,40,2,276.06,0
13546,12,3,621.09,0
13548,96,2,623.98,3
13549,26,7,833.6,3
13551,319,1,91.80000000000001,2
13552,66,12,1610.89,1
13555,74,4,1901.56,3
13557,28,2,524.0600000000001,0
13558,6,4,594.52,0
13560,7,1,171.42000000000002,0
13561,216,1,60.26,2
13562,82,3,1507.28,3
13563,84,2,333.13,2
13564,354,2,991.51,3
13565,19,2,240.22,0
13566,41,2,809.24,3
13568,173,1,187.05,2
13569,17,2,338.62,0
13570,243,1,158.37,2
13571,13,12,2088.94,1
13572,206,1,458.63000000000005,2
13573,50,2,249.0,0
13575,23,5,690.47,3
13576,10,16,1410.4,1
13577,25,4,1319.1000000000001,3
13579,15,2,338.94,0
13581,309,1,118.0,2
13583,156,1,781.03,2
13584,307,1,142.4,2
13587,64,1,134.4,2
13588,16,9,2399.75,1
13589,15,2,379.65,0
13590,11,6,1380.1200000000001,1
13591,65,3,1040.63,3
13592,36,4,247.95999999999998,0
13593,108,5,1854.5800000000002,3
13594,53,1,396.97,0
13596,6,2,664.11,0
13598,47,1,160.04,2
13599,1,21,3032.61,1
13600,312,1,174.67000000000002,2
13601,45,2,693.32,3
13602,65,1,428.89,2
13603,26,1,164.34,0
13606,29,3,276.75,0
13607,40,1,675.51,0
13610,12,7,1082.33,1
13611,89,3,1011.96,3
13614,24,4,1534.61,3
13615,319,1,377.13,2
13617,40,3,486.43,3
13618,174,1,177.34,2
13621,117,1,213.85,2
13623,31,5,498.46,3
13626,253,1,257.23,2
13627,59,5,1395.35,3
13629,143,1,336.36,2
13630,5,7,853.74,1
13632,25,5,1957.65,3
13634,33,5,1416.96,3
13635,68,1,1026.03,3
13636,37,5,949.12,3
13637,52,3,804.3,3
13638,16,1,122.64,0
13639,74,1,623.12,2
13642,216,1,312.28,2
13643,31,3,519.44,3
13644,16,4,2624.26,1
13645,120,1,50.5,2
13647,10,4,1440.6200000000001,1
13649,257,2,263.2,2
13650,17,6,1616.54,1
13651,35,2,94.2,0
13652,46,3,1095.08,3
13654,43,6,2521.63,3
13655,114,2,893.17,3
13656,165,2,379.65,2
13657,11,2,177.9,0
13658,10,5,1763.07,1
13659,206,2,1312.3,3
13662,86,3,881.26,3
13663,179,1,189.47,2
13666,60,3,84.65,2
13667,149,1,299.05,2
13668,3,21,4568.61,1
13669,51,2,177.75,0
13670,75,1,349.7,2
13672,301,2,91.83000000000001,2
13673,19,2,337.94,0
13675,151,2,486.82000000000005,2
13678,152,1,232.6,2
13680,1,4,1675.93,1
13681,18,4,745.33,3
13682,187,1,59.5,2
13684,286,1,65.13,2
13685,3,4,20.92,0
13686,183,1,72.0,2
13689,63,1,15.0,2
13690,59,1,127.4,2
13692,25,3,572.36,3
13694,4,19,2845.71,1
13695,31,13,1356.8500000000001,1
13697,39,1,151.3,0
13699,155,1,308.58000000000004,2
13700,26,10,1619.43,1
13704,5,9,2087.06,1
13705,8,3,433.38,0
13706,303,1,290.89000000000004,2
13707,267,2,701.56,3
13708,271,1,285.33,2
13709,4,12,5172.28,1
13710,32,1,113.28,0
13711,219,2,252.06,2
13712,247,1,188.04000000000002,2
13715,281,5,1077.39,3
13716,269,1,138.28,2
13717,32,6,1445.01,3
13718,246,2,194.95,2
13719,15,5,989.48,3
13720,117,4,720.7,3
13721,36,1,484.54,0
13722,132,3,1276.13,3
13723,217,1,102.9,2
13725,50,7,1545.56,3
13726,39,2,473.15999999999997,0
13727,29,2,285.78,0
13728,37,6,1016.14,3
13730,136,2,713.0,3
13731,219,2,610.59,2
13732,28,1,491.86,0
13735,25,4,2357.4900000000002,3
13736,5,2,729.8,0
13737,200,1,226.05,2
13740,241,1,350.75,2
13741,72,3,620.73,3
13742,17,12,2876.92,1
13743,3,7,549.0,1
13744,95,2,999.16,3
13745,162,1,300.04,2
13748,96,4,438.25,3
13750,54,3,306.62,3
13751,288,1,83.55000000000001,2
13752,124,6,869.58,3
13753,288,1,566.66,2
13754,152,2,186.6,2
13755,4,8,1959.36,1
13756,2,13,2214.96,1
13758,12,7,1827.6200000000001,1
13759,71,1,402.49,2
